Name,Sig. Str. By Position - Standing,Sig. Str. By Position - Clinch,Sig. Str. By Position - Ground,Win by Method - KO/TKO,Win by Method - DEC,Win by Method - SUB,Status,Place of Birth,Trains at,Fighting style,Age,Height,Weight,Octagon Debut,Reach,Leg reach,Weight Class,gender
Clayton Carpenter,59 (72%),4 (5%),19 (23%),2 (33%),2 (33%),2 (33%),Active,United States,,,27,66.00,125.00,"Feb. 18, 2023",66.00,36.50,Flyweight Division,man
Luana Carolina,369 (67%),128 (23%),50 (9%),3 (30%),6 (60%),1 (10%),Active,Brazil,Capital da Luta,Muay Thai,30,66.00,141.50,"May. 11, 2019",69.00,38.50,Women's Flyweight Division,women
Ariane Carnelossi,100 (71%),26 (18%),15 (11%),9 (64%),3 (21%),2 (14%),Active,"Álvares Machado, Brazil",,Muay Thai,29,62.00,115.50,"Sep. 21, 2019",61.50,35.00,Women's Strawweight Division,women
Jared Cannonier,781 (81%),108 (11%),76 (8%),10 (63%),4 (25%),2 (13%),Active,"Dallas, United States",ABJJ + Gracie Barra Alaska,Striker,39,71.00,184.80,"Jan. 3, 2015",77.50,41.50,Middleweight Division,man
Carlos Candelario,141 (67%),16 (8%),52 (25%),2 (25%),3 (38%),3 (38%),Active,"New Britain, United States",,Freestyle,32,68.00,128.50,"May. 14, 2022",68.00,38.00,Flyweight Division,man
Aleksa Camur,220 (71%),63 (20%),28 (9%),5 (83%),1 (17%),0 (0%),Active,"Sarajevo, Bosnia &amp; Herzegovina",Strong Style Cleveland,MMA,27,73.00,204.50,"Jul. 30, 2019",74.00,42.00,Light Heavyweight Division,man
Charlie Campbell,49 (83%),9 (15%),1 (2%),6 (75%),2 (25%),0 (0%),Active,"New York, United States",LAW MMA,MMA,28,72.00,168.40,"Sep. 16, 2023",,,Lightweight Division,man
Cynthia Calvillo,639 (87%),19 (3%),78 (11%),2 (22%),4 (44%),3 (33%),Active,"San Jose, United States",Syndicate MMA,Freestyle,35,64.00,116.00,"Mar. 5, 2017",64.00,37.00,Women's Strawweight Division,women
Ricky Calatayud,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Escondido, United States",,,40,,,"Mar. 12, 2024",,,Flyweight Division,man
Priscila Cachoeira,302 (82%),42 (11%),23 (6%),7 (58%),5 (42%),0 (0%),Active,"Rio de Janeiro, Brazil","MMA Masters - Miami, FL",Brawler,35,67.00,133.50,"Feb. 4, 2018",65.00,37.00,Women's Bantamweight Division,women
Alex Caceres,1227 (85%),125 (9%),85 (6%),4 (19%),10 (48%),7 (33%),Active,United States,"MMA LAB - Glendale, AZ",Freestyle,35,70.00,158.80,"Mar. 27, 2011",73.50,41.00,Featherweight Division,man
Dennis Buzukja,107 (71%),31 (21%),13 (9%),4 (36%),6 (55%),1 (9%),Active,"Staten Island, United States","Serra-Longo - Long Island, NY",MMA,26,69.00,159.40,"Aug. 5, 2023",70.50,39.00,Featherweight Division,man
JP Buys,38 (52%),12 (16%),23 (32%),3 (33%),1 (11%),5 (56%),Active,"Brakpan, South Africa","Xtreme Couture - Las Vegas, NV",,27,65.00,136.00,"Aug. 22, 2017",67.00,36.00,Bantamweight Division,man
Jesse Butler,1 (100%),0 (0%),0 (0%),1 (8%),3 (25%),8 (67%),Active,"Monroe, United States",,Jiu-Jitsu,31,70.00,154.50,"Jun. 3, 2023",73.00,40.00,Featherweight Division,man
Gilbert Burns,661 (75%),83 (9%),138 (16%),6 (29%),6 (29%),9 (43%),Active,"Niterói, Brazil",Jaco Hybrid Training Center,Brazilian Jiu-Jitsu,37,70.00,187.60,"Jul. 26, 2014",71.00,40.00,Welterweight Division,man
Herbert Burns,15 (41%),11 (30%),11 (30%),1 (9%),2 (18%),8 (73%),Active,"Niterói, Brazil",Sanford MMA,Jiu-Jitsu,35,69.00,145.40,"Aug. 6, 2019",73.50,40.00,Featherweight Division,man
Nate Burnard,,,,,,,Active,"Meridian, United States",,,25,,264.00,"Mar. 12, 2024",,,,man
Justin Burlinson,1 (50%),1 (50%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Sunderland, United Kingdom",,,26,73.00,170.50,"Mar. 13, 2024",74.00,41.00,Welterweight Division,man
Felipe Bunes,49 (98%),1 (2%),0 (0%),2 (15%),3 (23%),8 (62%),Active,"Natal, Brazil",,Brazilian Jiu-Jitsu,34,66.97,133.00,"Jun. 17, 2023",,,Flyweight Division,man
Modestas Bukauskas,188 (87%),26 (12%),1 (0%),9 (64%),3 (21%),2 (14%),Active,"Klaipeda, Lithuania",,Kickboxer,29,75.00,216.20,"Jul. 15, 2020",76.00,42.00,Light Heavyweight Division,man
Martin Buday,201 (69%),81 (28%),11 (4%),7 (54%),4 (31%),2 (15%),Active,"Nitra, Slovakia",,Jiu-Jitsu,32,76.00,264.50,"Apr. 16, 2022",77.00,43.00,Heavyweight Division,man
Joaquin Buckley,369 (87%),28 (7%),27 (6%),12 (75%),4 (25%),0 (0%),Active,"St. Louis , United States",,Freestyle,29,70.00,170.50,"Aug. 8, 2020",76.00,40.00,Welterweight Division,man
Lukasz Brzeski,193 (81%),26 (11%),19 (8%),6 (75%),1 (13%),1 (13%),Active,"Zakopane, Poland",,Striker,31,75.00,247.00,"Aug. 13, 2022",78.00,43.00,Heavyweight Division,man
Robert Bryczek,30 (94%),2 (6%),0 (0%),11 (65%),5 (29%),1 (6%),Active,Poland,,Boxing,33,72.00,196.00,"Feb. 10, 2024",,,Middleweight Division,man
Cody Brundage,47 (47%),6 (6%),47 (47%),5 (50%),2 (20%),3 (30%),Active,"Chapin, United States",Factory X,Wrestler,29,72.00,198.00,"Sep. 25, 2021",72.00,42.00,Middleweight Division,man
Stephanie Bruna,65 (75%),12 (14%),10 (11%),0 (0 %),0 (0 %),0 (0 %),Active,,,,,,,"Mar. 23, 2024",,,Women's Strawweight Division,women
Travis Browne,248 (62%),56 (14%),96 (24%),0 (0 %),0 (0 %),0 (0 %),Active,"Honolulu, United States",Glendale Fighting Club CA,,40,78.50,247.50,"Jun. 19, 2010",79.00,45.50,Heavyweight Division,man
Randy Brown,556 (74%),129 (17%),71 (9%),7 (39%),6 (33%),5 (28%),Active,"Spanish Town, Jamaica",Budokan Martial Arts,,33,75.00,186.50,"Jan. 31, 2016",78.00,45.50,Welterweight Division,man
TJ Brown,284 (74%),48 (12%),53 (14%),4 (24%),3 (18%),10 (59%),Active,"Pine Bluff, United States",,MMA,33,69.00,146.00,"Aug. 27, 2019",72.00,38.00,Featherweight Division,man
Matt Brown,586 (56%),276 (27%),177 (17%),17 (65%),2 (8%),7 (27%),Active,"Xenia, United States",None,Brawler,42,72.00,170.00,"Jun. 21, 2008",75.00,43.00,Welterweight Division,man
Joanderson Brito,71 (54%),12 (9%),49 (37%),7 (44%),2 (13%),7 (44%),Active,"Santa Helena, Brazil",,Striker,28,68.00,162.00,"Jan. 15, 2022",72.00,38.00,Featherweight Division,man
Kaik Brito,31 (74%),8 (19%),3 (7%),0 (0 %),0 (0 %),0 (0 %),Active,,,,26,,,"Mar. 13, 2024",,,Welterweight Division,man
Marcos Brigagao,36 (78%),10 (22%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,27,,202.50,"Mar. 13, 2024",,,Light Heavyweight Division,man
Elves Brener,135 (90%),9 (6%),6 (4%),2 (13%),2 (13%),11 (73%),Active,"Maués, Brazil",Chute Boxe,Jiu-Jitsu,26,70.00,169.00,"Feb. 11, 2023",72.50,39.50,Lightweight Division,man
Mike Breeden,241 (92%),19 (7%),3 (1%),9 (82%),2 (18%),0 (0%),Not Fighting,"Springfield, United States",,Striker,34,70.00,159.50,"Oct. 2, 2021",70.00,39.50,Lightweight Division,man
Bruna Brasil,94 (68%),39 (28%),6 (4%),3 (38%),3 (38%),2 (25%),Active,"Paranavaí, Brazil",,MMA,30,66.00,125.00,"Apr. 15, 2023",65.50,38.00,Women's Strawweight Division,women
Ramiz Brahimaj,71 (91%),7 (9%),0 (0%),0 (0%),0 (0%),10 (100%),Active,"The Bronx, United States",Fortis MMA,MMA,30,70.00,170.50,"Nov. 7, 2020",72.00,39.00,Welterweight Division,man
Sean Brady,279 (85%),6 (2%),42 (13%),3 (19%),8 (50%),5 (31%),Active,"Philadelphia, United States",,Brazilian Jiu-Jitsu,31,70.00,170.00,"Oct. 18, 2019",72.00,40.00,Welterweight Division,man
Anvar Boynazarov,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,Uzbekistan,,,34,,144.00,"Mar. 13, 2024",,,Featherweight Division,man
Tanner Boser,451 (87%),39 (8%),26 (5%),11 (55%),7 (35%),2 (10%),Active,"Bonnyville, Canada",,Karate,32,74.00,217.00,"Jul. 27, 2019",75.50,43.00,Light Heavyweight Division,man
Viacheslav Borshchev,323 (90%),22 (6%),15 (4%),6 (86%),1 (14%),0 (0%),Active,"Volgograd, Russia",Team Alpha Male,Striker,31,71.00,167.20,"Jan. 15, 2022",69.00,41.50,Lightweight Division,man
Zach Borrego,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"San Antonio, United States",,,26,,187.50,"Mar. 12, 2024",,,Middleweight Division,man
Caio Borralho,146 (64%),34 (15%),48 (21%),4 (27%),7 (47%),4 (27%),Active,"State of Maranhão, Brazil",Combat Club,MMA,31,70.00,186.00,"Apr. 16, 2022",75.00,42.00,Middleweight Division,man
Kevin Borjas,157 (97%),3 (2%),2 (1%),8 (89%),1 (11%),0 (0%),Active,"Lima, Peru",,,25,65.00,140.80,"Nov. 11, 2023",68.00,36.00,Flyweight Division,man
Branden Bordeaux,,,,,,,Active,,,,,,,"Mar. 13, 2024",,,,man
Michael Bonnette,,,,,,,Active,,,,34,,170.50,"Mar. 12, 2024",,,,man
Gabriel Bonfim,70 (91%),3 (4%),4 (5%),3 (20%),0 (0%),12 (80%),Active,"Brasilia, Brazil",,Striker,25,73.00,171.00,"Jan. 21, 2023",72.50,40.50,Welterweight Division,man
Ismael Bonfim,109 (82%),20 (15%),4 (3%),9 (47%),6 (32%),4 (21%),Active,"Brasilia, Brazil",Cerrado MMA / Sanford MMA,Boxer,27,68.00,156.00,"Jan. 21, 2023",71.50,35.00,Lightweight Division,man
Denys Bondar,104 (86%),10 (8%),7 (6%),4 (29%),1 (7%),9 (64%),Active,"Kharkiv, Ukraine",,MMA,31,66.00,136.70,"Jan. 1, 2021",69.00,38.00,Flyweight Division,man
Gaston Bolanos,71 (78%),0 (0%),20 (22%),6 (100%),0 (0%),0 (0%),Active,"Lima, Peru",,Striker,31,67.00,135.50,"Apr. 15, 2023",70.50,38.48,Bantamweight Division,man
Mandy Böhm,76 (72%),27 (26%),2 (2%),2 (29%),3 (43%),2 (29%),Active,"Gelsenkirchen, Germany","Xtreme Couture - Las Vegas, NV",Kung Fu,33,67.00,126.00,"Sep. 4, 2021",71.00,38.50,Women's Flyweight Division,women
Dashawn Boatwright,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Long Island, United States",,,35,72.00,204.00,"Mar. 13, 2024",76.00,41.00,Light Heavyweight Division,man
Tereza Bleda,49 (39%),12 (10%),64 (51%),2 (29%),3 (43%),2 (29%),Active,"Cheb, Czechia",,Wrestling,21,69.00,125.00,"Nov. 19, 2022",71.00,39.00,Women's Flyweight Division,women
Curtis Blaydes,260 (45%),73 (13%),241 (42%),13 (72%),5 (28%),0 (0%),Active,"Naperville, United States",Dutch Style MMA/ UFC Gym Lombard IL,MMA,33,76.00,257.00,"Apr. 10, 2016",80.00,46.00,Heavyweight Division,man
Erin Blanchfield,218 (62%),34 (10%),99 (28%),2 (17%),6 (50%),4 (33%),Active,United States,,Jiu-Jitsu,24,64.00,125.50,"Sep. 18, 2021",66.00,36.00,Women's Flyweight Division,women
Da'Mon Blackshear,158 (64%),58 (23%),31 (13%),2 (14%),3 (21%),9 (64%),Active,United States,Jackson Wink MMA Academy - NM,,28,70.00,136.00,"Aug. 13, 2022",72.00,40.00,Bantamweight Division,man
Sherrard Blackledge,65 (59%),39 (35%),7 (6%),0 (0 %),0 (0 %),0 (0 %),Active,"Baltimore, United States",,,29,,155.00,"Mar. 13, 2024",,,Lightweight Division,man
Jan Błachowicz,679 (76%),105 (12%),110 (12%),9 (31%),11 (38%),9 (31%),Active,"Cieszyn, Poland","Ankos MMA - Zapaśniczy 67, Warszawa",MMA,41,74.00,205.00,"Oct. 4, 2014",78.00,44.00,Light Heavyweight Division,man
Simon Biyong,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,32,,,"Mar. 13, 2024",,,Light Heavyweight Division,man
Chris Birchler,41 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Livingston, United States",,,36,75.00,205.00,"Mar. 13, 2024",,,Light Heavyweight Division,man
Blake Bilder,169 (92%),13 (7%),2 (1%),1 (14%),2 (29%),4 (57%),Active,United States,,,33,,163.00,"Feb. 11, 2023",,,Featherweight Division,man
Khadzhimurat Bestaev,8 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,Russia,,,34,,184.00,"Mar. 13, 2024",,,Middleweight Division,man
Gabriel Benitez,538 (88%),18 (3%),54 (9%),9 (39%),4 (17%),10 (43%),Active,"Tijuana, Mexico",AKA (American Kickboxing Academy) San Jose,Striker,35,68.00,155.00,"Nov. 15, 2014",71.00,40.50,Lightweight Division,man
Rodolfo Bellato,70 (39%),57 (32%),52 (29%),7 (58%),1 (8%),4 (33%),Active,Brazil,,MMA,27,75.00,205.50,"Dec. 2, 2023",75.50,41.00,Light Heavyweight Division,man
Cody Belisle,,,,,,,Active,,,,30,,,"Mar. 12, 2024",,,,man
Yousri Belgaroui,32 (97%),1 (3%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,31,,,"Mar. 13, 2024",,,Middleweight Division,man
Diana Belbita,444 (82%),82 (15%),15 (3%),6 (43%),4 (29%),4 (29%),Active,"Drobeta-Turnu Severin, Romania",House of Champions,Striker,27,67.00,126.00,"Oct. 18, 2019",68.00,38.00,Women's Strawweight Division,women
Allan Begosso,12 (44%),2 (7%),13 (48%),0 (0 %),0 (0 %),0 (0 %),Active,,,,27,,135.50,"Mar. 13, 2024",,,Bantamweight Division,man
Rolando Bedoya,240 (92%),21 (8%),0 (0%),4 (29%),7 (50%),3 (21%),Active,"Callao Region, Peru",,Striker,26,71.00,183.40,"May. 6, 2023",74.98,40.98,Welterweight Division,man
Donavan Beard,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Hot Springs, United States",,,33,,184.00,"Mar. 12, 2024",,,Middleweight Division,man
Mario Bautista,374 (76%),86 (17%),33 (7%),3 (21%),5 (36%),6 (43%),Active,"Winnemucca, United States",The MMA Lab,Freestyle,30,69.00,135.50,"Jan. 19, 2019",72.00,39.00,Bantamweight Division,man
Bryan Battle,175 (81%),38 (18%),3 (1%),3 (27%),2 (18%),6 (55%),Active,United States,,Freestyle,29,73.00,173.00,"Aug. 28, 2021",77.00,42.50,Welterweight Division,man
Cameron Bates,,,,,,,Active,,,,,,214.50,"Mar. 13, 2024",,,,man
Bahatebole Batebolati,32 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Xinjiang, China",,,25,,179.10,"Mar. 13, 2024",,,Lightweight Division,man
Farid Basharat,133 (60%),7 (3%),80 (36%),1 (8%),5 (42%),6 (50%),Active,"Paktia, Afghanistan",,MMA,26,68.00,136.00,"Mar. 4, 2023",71.00,38.00,Bantamweight Division,man
Javid Basharat,319 (74%),31 (7%),81 (19%),5 (38%),2 (15%),6 (46%),Active,"Paktia, Afghanistan","Xtreme Couture - Las Vegas, NV",MMA,28,69.00,148.80,"Mar. 12, 2022",69.00,41.00,Bantamweight Division,man
Marc-Andre Barriault,566 (66%),226 (26%),66 (8%),10 (63%),5 (31%),1 (6%),Active,"Gatineau, Canada",Sanford MMA,Striker,33,73.00,184.50,"Mar. 13, 2024",74.00,42.50,Middleweight Division,man
Chris Barnett,100 (68%),11 (7%),37 (25%),18 (78%),5 (22%),0 (0%),Active,Spain,,Boxing,37,69.00,267.50,"Mar. 13, 2024",75.00,39.00,Heavyweight Division,man
Shonte Barnes,16 (89%),2 (11%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Wilson, United States",,,36,71.00,185.00,"Mar. 13, 2024",76.00,41.50,Middleweight Division,man
James Barnes,5 (63%),3 (38%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Los Angeles, United States",,,41,68.00,135.00,"Mar. 13, 2024",71.00,39.50,Bantamweight Division,man
Danny Barlow,99 (89%),6 (5%),6 (5%),5 (63%),2 (25%),1 (13%),Active,"Memphis, United States",,MMA,28,74.00,171.00,"Feb. 17, 2024",79.00,42.00,Welterweight Division,man
Daniel Barez,63 (90%),5 (7%),2 (3%),7 (47%),2 (13%),6 (40%),Active,Spain,,Freestyle,34,66.00,125.00,"Jul. 22, 2023",66.00,37.00,Flyweight Division,man
Raoni Barcelos,537 (75%),46 (6%),133 (19%),8 (33%),13 (54%),3 (13%),Active,"State of Rio de Janeiro, Brazil",,Jiu-Jitsu,36,67.50,148.10,"Jul. 14, 2018",67.00,39.00,Bantamweight Division,man
Edson Barboza,1303 (91%),63 (4%),60 (4%),14 (61%),8 (35%),1 (4%),Active,"Nova Friburgo, Brazil",Ricardo Almeida / Valor MMA,Striker,38,71.00,146.00,"Nov. 21, 2010",75.00,41.00,Featherweight Division,man
Bryan Barberena,887 (75%),202 (17%),90 (8%),11 (61%),5 (28%),2 (11%),Active,"Montclair, United States","MMA LAB - Glendale, AZ",Striker,34,72.00,185.00,"Dec. 13, 2014",72.50,39.00,Middleweight Division,man
Maycee Barber,314 (46%),254 (37%),119 (17%),6 (46%),5 (38%),2 (15%),Active,"Greeley, United States",Team Alpha Male,Freestyle,25,65.00,125.00,"Nov. 10, 2018",65.00,38.00,Women's Flyweight Division,women
Shauna Bannon,51 (94%),3 (6%),0 (0%),2 (40%),3 (60%),0 (0%),Active,"Dublin, Ireland",,MMA,29,65.00,115.00,"Jul. 22, 2023",65.00,37.00,Women's Strawweight Division,women
Ignacio Bahamondes,517 (94%),26 (5%),8 (1%),9 (64%),4 (29%),1 (7%),Active,"Santiago Metropolitan Region, Chile",Valle Flow Striking Academy,Freestyle,25,75.00,168.00,"Apr. 10, 2021",75.50,42.00,Lightweight Division,man
Melsik Baghdasaryan,239 (77%),66 (21%),6 (2%),5 (63%),3 (38%),0 (0%),Active,Armenia,Glendale Fighting Club,MMA,31,69.00,157.00,"Jul. 31, 2021",70.00,39.00,Featherweight Division,man
Miguel Baeza,287 (86%),17 (5%),28 (8%),7 (70%),2 (20%),1 (10%),Active,"Fort Lauderdale, United States",,MMA,30,74.00,171.00,"Oct. 12, 2019",74.50,41.00,Welterweight Division,man
Abdul Azeem Badakhshi,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Badakhshan, Afghanistan",,,27,,,"Mar. 12, 2024",,,Featherweight Division,man
Abu Azaitar,143 (73%),34 (17%),20 (10%),7 (50%),6 (43%),1 (7%),Active,"Rabat, Morocco",,Striker,37,69.00,203.00,"Jul. 22, 2018",76.00,41.00,Middleweight Division,man
Ottman Azaitar,43 (64%),16 (24%),8 (12%),10 (77%),1 (8%),2 (15%),Active,"Rabat, Morocco",Team Morocco,Freestyle,33,68.00,169.00,"Sep. 7, 2019",71.00,38.00,Lightweight Division,man
Julia Avila,106 (73%),30 (21%),9 (6%),4 (44%),3 (33%),2 (22%),Active,"Los Angeles, United States",,,35,67.00,135.50,"Jul. 6, 2019",68.00,38.00,Women's Bantamweight Division,women
Jose Augusto,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,,,,31,,,"Mar. 13, 2024",,,Light Heavyweight Division,man
Tom Aspinall,77 (57%),17 (13%),40 (30%),11 (79%),0 (0%),3 (21%),Active,"Salford, United Kingdom",Team Kaobon,Freestyle,30,77.00,261.60,"Mar. 21, 2020",78.00,44.00,Heavyweight Division,man
Ibo Aslan,16 (76%),0 (0%),5 (24%),0 (0 %),0 (0 %),0 (0 %),Active,Turkey,,,27,,,"Mar. 30, 2024",,,Light Heavyweight Division,man
Khusein Askhabov,25 (83%),5 (17%),0 (0%),6 (26%),7 (30%),10 (43%),Not Fighting,"Grozny , Russia",,MMA,29,68.00,146.00,"Jul. 16, 2022",69.00,39.00,Featherweight Division,man
Yanal Ashmouz,36 (72%),1 (2%),13 (26%),4 (57%),1 (14%),2 (29%),Active,Israel,,MMA,28,69.00,176.00,"Mar. 18, 2023",69.00,38.00,Lightweight Division,man
Eli Aronov,10 (91%),0 (0%),1 (9%),0 (0 %),0 (0 %),0 (0 %),Active,Israel,,,27,,,"Mar. 13, 2024",,,Middleweight Division,man
Garrett Armfield,159 (93%),7 (4%),5 (3%),6 (60%),1 (10%),3 (30%),Active,"Eureka, United States",Marathon MMA,Freestyle,27,66.00,150.00,"Jul. 9, 2022",70.00,38.00,Bantamweight Division,man
Andrei Arlovski,1401 (85%),204 (12%),42 (3%),17 (50%),14 (41%),3 (9%),Active,United States,"American Top Team ATT Coconut Creek, FL",Kickboxer,44,75.00,247.00,"Nov. 17, 2000",77.00,44.00,Heavyweight Division,man
Rheza Arianto,0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),0 (0 %),Active,"Malang, Indonesia",,,22,,,"Mar. 13, 2024",,,Featherweight Division,man
Dan Argueta,66 (59%),21 (19%),24 (22%),2 (25%),2 (25%),4 (50%),Active,United States,,MMA,30,67.00,136.00,"Jun. 4, 2022",68.00,38.00,Bantamweight Division,man
Julio Arce,487 (91%),35 (7%),15 (3%),5 (26%),9 (47%),5 (26%),Active,"Miami, United States",,Freestyle,33,67.00,135.80,"Aug. 8, 2017",70.00,39.00,Bantamweight Division,man
Viviane Araújo,670 (95%),13 (2%),19 (3%),3 (25%),5 (42%),4 (33%),Active,"Brasília, Brazil",,MMA,37,64.00,126.00,"May. 11, 2019",68.00,36.50,Women's Flyweight Division,women
Josh Appelt,4 (67%),2 (33%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Tacoma, United States",,,40,70.00,252.50,"Mar. 12, 2024",,,Heavyweight Division,man
Aoriqileng,318 (83%),23 (6%),43 (11%),8 (32%),16 (64%),1 (4%),Active,"Inner Mongolia, China","Fight Ready - Scottsdale, AZ",,30,67.00,147.00,"Apr. 24, 2021",69.00,39.00,Bantamweight Division,man
Magomed Ankalaev,361 (67%),49 (9%),127 (24%),11 (58%),8 (42%),0 (0%),Active,Russia,,MMA,31,75.00,204.50,"Mar. 17, 2018",75.00,46.00,Light Heavyweight Division,man
Chad Anheliger,118 (66%),26 (15%),35 (20%),7 (58%),2 (17%),3 (25%),Active,"Kelowna, Canada",Champions Creed MMA,Freestyle,37,66.00,141.00,"Feb. 19, 2022",64.50,37.00,Bantamweight Division,man
Julius Anglickas,15 (24%),38 (61%),9 (15%),0 (0 %),0 (0 %),0 (0 %),Active,Lithuania,,,31,75.00,206.00,"Mar. 13, 2024",75.00,46.00,Light Heavyweight Division,man
Juan Andres Luna,49 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,27,67.00,126.00,"Mar. 13, 2024",72.00,39.00,Flyweight Division,man
Jéssica Andrade,1100 (69%),296 (19%),195 (12%),10 (40%),7 (28%),8 (32%),Active,"Umuarama, Brazil",PRVT Para Vale Tudo,Muay Thai,32,61.50,116.00,"Jul. 27, 2013",62.00,35.00,Women's Strawweight Division,women
Eryk Anders,424 (59%),179 (25%),112 (16%),9 (60%),5 (33%),1 (7%),Active,"San Antonio, United States",,MMA,36,73.00,204.00,"Jul. 23, 2017",75.00,43.50,Middleweight Division,man
Jaqueline Amorim,17 (17%),0 (0%),81 (83%),2 (29%),0 (0%),5 (71%),Active,"Manaus, Brazil",American Top Team,Brazilian Jiu-Jitsu,28,63.00,115.50,"Apr. 8, 2023",,,Women's Strawweight Division,women
Hyder Amil,70 (67%),11 (10%),24 (23%),5 (56%),3 (33%),1 (11%),Active,Philippines,,MMA,33,69.00,158.00,"Feb. 10, 2024",70.00,39.00,Featherweight Division,man
Rayanne Amanda,96 (86%),15 (13%),1 (1%),2 (14%),4 (29%),8 (57%),Active,"Belém, Brazil",,Boxing,28,62.00,117.80,"Dec. 9, 2023",62.00,35.50,Women's Strawweight Division,women
Warlley Alves,363 (77%),71 (15%),35 (7%),4 (27%),4 (27%),7 (47%),Active,"Governador Valadares, Brazil",XGYM - Rio de Janeiro,Kickboxer,32,71.00,185.00,"May. 31, 2014",72.00,42.00,Middleweight Division,man
Joel Álvarez,140 (81%),12 (7%),20 (12%),3 (15%),0 (0%),17 (85%),Active,Spain,,Striker,30,74.00,156.00,"Feb. 23, 2019",77.00,42.00,Lightweight Division,man
Jaime Alvarez,26 (63%),0 (0%),15 (37%),4 (57%),2 (29%),1 (14%),Active,"Hollywood, United States",,,35,68.00,125.00,"Aug. 15, 2017",69.00,,Flyweight Division,man
Patricia Alujas,53 (100%),0 (0%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Asunción, Paraguay",,,26,,,"Mar. 13, 2024",,,Women's Strawweight Division,women
Victor Altamirano,254 (71%),47 (13%),57 (16%),2 (18%),5 (45%),4 (36%),Active,"Mexico City, Mexico",,Striker,33,68.00,138.00,"Feb. 26, 2022",70.00,39.00,Flyweight Division,man
Jailton Almeida,10 (6%),3 (2%),142 (92%),7 (37%),0 (0%),12 (63%),Active,Brazil,,Boxing,32,75.00,245.00,"Nov. 13, 2021",79.00,43.50,Heavyweight Division,man
Lucas Almeida,155 (85%),7 (4%),21 (11%),9 (64%),0 (0%),5 (36%),Active,"Sorocaba, Brazil",,Striker,32,71.00,146.00,"Jun. 4, 2022",71.00,41.00,Featherweight Division,man
Cesar Almeida,18 (25%),9 (13%),44 (62%),3 (75%),1 (25%),0 (0%),Active,Brazil,,Striker,35,73.00,185.00,"Apr. 6, 2024",74.00,43.00,Middleweight Division,man
Estefani Almeida,46 (98%),1 (2%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,"Manaus, Brazil",,,34,64.00,126.00,"Mar. 12, 2024",,,Women's Flyweight Division,women
Bekzat Almakhan,3 (100%),0 (0%),0 (0%),9 (82%),1 (9%),1 (9%),Active,Kazakhstan,,Karate,26,67.00,136.00,"Mar. 2, 2024",68.00,38.00,Bantamweight Division,man
Asu Almabayev,32 (46%),8 (11%),30 (43%),3 (17%),6 (33%),9 (50%),Active,Kazakhstan,,,30,64.00,126.00,"Aug. 5, 2023",65.00,36.00,Flyweight Division,man
Arnold Allen,488 (89%),27 (5%),35 (6%),7 (37%),8 (42%),4 (21%),Active,"Ipswich, United Kingdom",BKK / Tristar,MMA,30,68.00,145.50,"Jun. 20, 2015",70.00,39.00,Featherweight Division,man
Brendan Allen,338 (72%),35 (7%),97 (21%),5 (22%),4 (17%),14 (61%),Active,"Beaufort, United States",Kill Cliff FC,MMA,28,74.00,186.00,"Oct. 18, 2019",75.00,42.00,Middleweight Division,man
Leon Aliu,7 (70%),3 (30%),0 (0%),0 (0 %),0 (0 %),0 (0 %),Active,,,,33,,186.00,"Mar. 13, 2024",,,Middleweight Division,man
Ikram Aliskerov,51 (96%),2 (4%),0 (0%),6 (40%),4 (27%),5 (33%),Active,"Makhachkala, Russia",,Sambo,30,72.00,186.00,"May. 6, 2023",76.00,40.00,Middleweight Division,man
Nurullo Aliev,2 (4%),0 (0%),47 (96%),2 (25%),6 (75%),0 (0%),Active,"Dushanbe, Tajikistan",,Freestyle,22,70.00,155.00,"Feb. 25, 2023",72.00,38.00,Lightweight Division,man
